,Company,Symbol,GICS Sector
0,Amorepacific,090430,Consumer Staples
1,Amorepacific Group,002790,Consumer Staples
2,APR,278470,Consumer Staples
3,BGF Retail,282330,Consumer Staples
4,BNK Financial,138930,Financials
5,Celltrion,068270,Health Care
6,Cheil Worldwide,030000,Communication Services
7,Chong Kun Dang,185750,Health Care
8,CJ,001040,Consumer Staples
9,CJ CheilJedang,097950,Consumer Staples
10,CJ Logistics,000120,Industrials
11,Cosmax,192820,Consumer Staples
12,Cosmo AM&T,005070,IT
13,Cosmo Chemical,005420,Energy & Chemicals
14,Coway,021240,Consumer Discretionary
15,CS Wind,112610,Heavy Industries
16,Daesang,001680,Consumer Staples
17,Daewoo E&C,047040,Constructions
18,Daewoong,003090,Health Care
19,Daewoong Pharmaceutical,069620,Health Care
20,DB Insurance,005830,Financials
21,Dentium,145720,Health Care
22,DGB Financial,139130,Financials
23,DL,000210,Energy & Chemicals
24,DL E&C,375500,Constructions
25,Dongsuh,026960,Consumer Staples
26,Dongwon Systems,014820,Steels & Materials
27,Doosan,000150,Heavy Industries
28,Doosan Bobcat,241560,Heavy Industries
29,Doosan Enerbility,034020,Heavy Industries
30,Doosan Fuel Cell,336260,Industrials
31,Doosan Robotics,454910,Heavy Industries
32,DoubleU Games,192080,Consumer Discretionary
33,Ecopro Materials,450080,Industrials
34,Emart,139480,Consumer Staples
35,F&F,383220,Consumer Discretionary
36,Fila,081660,Consumer Discretionary
37,Foosung,093370,Energy & Chemicals
38,Grand Korea Leisure,114090,Consumer Discretionary
39,Green Cross,006280,Health Care
40,Green Cross Holdings,005250,Health Care
41,GS,078930,Energy & Chemicals
42,GS E&C,006360,Constructions
43,GS Retail,007070,Consumer Staples
44,Hana Financial,086790,Financials
45,Hana Tour,039130,Consumer Discretionary
46,Hanall Biopharma,009420,Health Care
47,Hanil Cement,300720,Constructions
48,Hanjin KAL,180640,Consumer Discretionary
49,Hankook,161390,Consumer Discretionary
50,Hankook & Company,000240,Consumer Discretionary
51,Hanmi Pharm,128940,Health Care
52,Hanmi Science,008930,Health Care
53,Hanmi Semiconductor,042700,IT
54,Hanon Systems,018880,Consumer Discretionary
55,Hansae,105630,Consumer Discretionary
56,Hansol Chemical,014680,Energy & Chemicals
57,Hanssem,009240,Consumer Discretionary
58,Hanwha,000880,Energy & Chemicals
59,Hanwha Aerospace,012450,Industrials
60,Hanwha Life,088350,Financials
61,Hanwha Ocean,042660,Heavy Industries
62,Hanwha Solutions,009830,Energy & Chemicals
63,Hanwha Systems,272210,Industrials
64,Hanwha Vision,489790,Heavy Industries
65,HD Hyundai,267250,Energy & Chemicals
66,HD Hyundai Electric,267260,Heavy Industries
67,HD Hyundai Heavy Industries,329180,Heavy Industries
68,HD Hyundai Infracore,042670,Heavy Industries
69,HD Hyundai Mipo,010620,Heavy Industries
70,HD KSOE,009540,Heavy Industries
71,HiteJinro,000080,Consumer Staples
72,HL Mando,204320,Consumer Discretionary
73,HMM,011200,Industrials
74,Hotel Shilla,008770,Consumer Discretionary
75,HS Hyosung Advanced Materials,298050,Energy & Chemicals
76,Hybe,352820,Communication Services
77,Hyosung Heavy Industries,298040,Heavy Industries
78,Hyosung TNC,298020,Energy & Chemicals
79,Hyundai Department Store,069960,Consumer Discretionary
80,Hyundai E&C,000720,Constructions
81,Hyundai Elevator,017800,Heavy Industries
82,Hyundai Glovis,086280,Industrials
83,Hyundai Marine & Fire,001450,Financials
84,Hyundai Mobis,012330,Consumer Discretionary
85,Hyundai Motor,005380,Consumer Discretionary
86,Hyundai Rotem,064350,Heavy Industries
87,Hyundai Steel,004020,Steels & Materials
88,Hyundai WIA,011210,Consumer Discretionary
89,Iljin Hysolus,271940,Consumer Discretionary
90,Industrial Bank of Korea,024110,Financials
91,Isu Specialty Chemical,457190,Energy & Chemicals
92,JB Financial,175330,Financials
93,Kakao,035720,Communication Services
94,KakaoBank,323410,Financials
95,KakaoPay,377300,Financials
96,Kangwon Land,035250,Consumer Discretionary
97,KB Financial,105560,Financials
98,KCC,002380,Energy & Chemicals
99,KEPCO,015760,Consumer Staples
100,KEPCO E&C,052690,Constructions
101,KEPCO KPS,051600,Industrials
102,KG Mobility,003620,Consumer Discretionary
103,Kia,000270,Consumer Discretionary
104,Kiwoom Securities,039490,Financials
105,Kolmar Korea,161890,Consumer Staples
106,Kolon Industries,120110,Energy & Chemicals
107,Korea Aerospace,047810,Industrials
108,Korea Gas,036460,Consumer Staples
109,Korea Investment,071050,Financials
110,Korea Petrochemical,006650,Energy & Chemicals
111,Korea Zinc,010130,Steels & Materials
112,Korean Air,003490,Industrials
113,Krafton,259960,Communication Services
114,KT,030200,Communication Services
115,KT&G,033780,Consumer Staples
116,Kumho Petrochemical,011780,Energy & Chemicals
117,Kumho Tire,073240,Consumer Discretionary
118,L&F,066970,Industrials
119,LG,003550,IT
120,LG Chem,051910,Energy & Chemicals
121,LG Display,034220,IT
122,LG Electronics,066570,IT
123,LG Energy Solution,373220,Industrials
124,LG H&H,051900,Consumer Staples
125,LG Innotek,011070,IT
126,LG Uplus,032640,Communication Services
127,LIG Nex1,079550,Industrials
128,Lotte,004990,Consumer Staples
129,Lotte Chemical,011170,Energy & Chemicals
130,Lotte Chilsung,005300,Consumer Staples
131,Lotte Fine Chemical,004000,Energy & Chemicals
132,Lotte Shopping,023530,Consumer Discretionary
133,Lotte Wellfood,280360,Consumer Staples
134,LS,006260,Industrials
135,LS Electric,010120,Industrials
136,LX International,001120,Industrials
137,Meritz Financial,138040,Financials
138,Mirae Asset Securities,006800,Financials
139,Miwon Commercial,002840,Energy & Chemicals
140,Naver,035420,Communication Services
141,NCSoft,036570,Communication Services
142,Netmarble,251270,Communication Services
143,NH Investment & Securities,005940,Financials
144,Nongshim,004370,Consumer Staples
145,OCI,456040,Energy & Chemicals
146,OCI Holdings,010060,Energy & Chemicals
147,Orion,271560,Consumer Staples
148,Orion Holdings,001800,Consumer Staples
149,Ottogi,007310,Consumer Staples
150,Pan Ocean,028670,Industrials
151,PI Advanced Materials,178920,Energy & Chemicals
152,Poongsan,103140,Steels & Materials
153,POSCO,005490,Steels & Materials
154,POSCO DX,022100,IT
155,POSCO Future M,003670,Industrials
156,POSCO International,047050,Industrials
157,S-1,012750,Industrials
158,Sama Aluminium,006110,Steels & Materials
159,Samsung Biologics,207940,Health Care
160,Samsung C&T,028260,Constructions
161,Samsung Card,029780,Financials
162,Samsung E&A,028050,Constructions
163,Samsung Electro-Mechanics,009150,IT
164,Samsung Electronics,005930,IT
165,Samsung Fire & Marine,000810,Financials
166,Samsung Heavy Industries,010140,Heavy Industries
167,Samsung Life,032830,Financials
168,Samsung SDI,006400,IT
169,Samsung SDS,018260,IT
170,Samsung Securities,016360,Financials
171,Samyang Foods,003230,Consumer Staples
172,SD Biosensor,137310,Health Care
173,Seah Besteel,001430,Steels & Materials
174,Seah Steel Holdings,003030,Steels & Materials
175,Sebang Global Battery,004490,Consumer Discretionary
176,Shinhan Financial,055550,Financials
177,Shinsegae,004170,Consumer Discretionary
178,SK,034730,Energy & Chemicals
179,SK Biopharm,326030,Health Care
180,SK Bioscience,302440,Health Care
181,SK Chemicals,285130,Energy & Chemicals
182,SK Hynix,000660,IT
183,SK IE Technology,361610,Industrials
184,SK Innovation,096770,Energy & Chemicals
185,SK Networks,001740,Industrials
186,SK Square,402340,IT
187,SK Telecom,017670,Communication Services
188,SKC,011790,Energy & Chemicals
189,SL,005850,Consumer Discretionary
190,S-Oil,010950,Energy & Chemicals
191,Taekwang Industrial,003240,Energy & Chemicals
192,Taihan Cable & Solution,001440,Industrials
193,TCC Steel,002710,Steels & Materials
194,TKG Huchems,069260,Energy & Chemicals
195,Woori Financial,316140,Financials
196,Youlchon Chemical,008730,Steels & Materials
197,Youngone,111770,Consumer Discretionary
198,Youngone Holdings,009970,Consumer Discretionary
199,Yuhan,000100,Health Care
